1;2;3;5;6;9;10;11;13;14;16;18;20;23;24;25;2932839
2;1;4;5;6;7;9;11;12;13;15;16;19;20;23;24;2676922
3;1;4;6;7;8;9;10;11;12;14;16;17;20;23;24;2713173
4;1;2;4;5;8;10;12;13;16;17;18;19;23;24;25;2324988
5;1;2;4;8;9;11;12;13;15;16;19;20;23;24;25;2377234
6;1;2;4;5;6;7;10;12;15;16;17;19;21;23;25;2276908
7;1;4;7;8;10;12;14;15;16;18;19;21;22;23;25;2735027
8;1;5;6;8;9;10;13;15;16;17;18;19;20;22;25;2753969
9;3;4;5;9;10;11;13;15;16;17;19;20;21;24;25;3147417
10;2;3;4;5;6;8;9;10;11;12;14;19;20;23;24;2803287
11;2;6;7;8;9;10;11;12;16;19;20;22;23;24;25;3087372
12;1;2;4;5;7;8;9;10;11;12;14;16;17;24;25;2299379
13;3;5;6;7;8;9;10;11;13;14;15;16;17;19;23;3176670
14;1;2;5;6;7;9;13;14;15;18;19;20;21;23;25;2397461
15;1;2;4;6;8;10;12;15;16;18;19;21;23;24;25;2356984
16;2;5;6;7;8;10;12;13;15;17;19;21;23;24;25;3066034
17;1;2;3;5;6;7;9;13;14;16;17;18;19;20;21;2148153
18;2;6;7;8;10;11;14;15;17;18;19;20;22;23;24;3090283
19;2;5;6;7;8;10;11;13;14;15;16;17;20;23;24;3065284
20;3;4;6;7;8;9;10;14;16;17;18;19;20;23;24;3151532
21;1;2;4;5;8;11;14;16;18;19;20;22;23;24;25;2326103
22;1;2;3;4;5;6;7;9;10;12;13;14;15;22;25;1974018
23;1;3;4;5;6;8;10;11;12;14;16;17;18;19;20;2490010
24;1;2;3;5;7;10;11;14;17;19;20;21;23;24;25;2190660
25;1;2;3;4;5;6;7;9;13;14;16;20;22;23;24;1978534
26;5;7;8;9;10;11;13;14;16;17;19;20;21;22;23;3262419
27;3;6;8;10;11;12;13;14;15;18;20;21;22;24;25;3210504
28;1;3;7;9;10;11;12;13;14;16;17;18;19;20;21;2658093
29;1;4;5;6;8;9;13;14;16;17;19;20;21;22;24;2686500
30;1;2;3;4;6;7;8;11;14;17;19;20;21;22;23;2065085
31;1;2;3;4;9;13;14;15;17;19;20;21;22;24;25;2127820
32;1;2;4;6;7;9;10;11;14;15;16;17;20;22;23;2343623
33;1;2;5;7;8;10;11;12;14;16;19;20;21;23;24;2418626
34;1;2;4;7;8;9;10;11;15;16;18;19;20;21;23;2364225
35;1;4;5;6;11;12;13;14;16;17;19;21;22;23;25;2693730
36;1;4;5;7;8;10;11;14;17;19;20;21;22;23;24;2700236
37;1;3;4;5;8;9;10;11;13;15;20;21;22;23;24;2523184
38;1;2;3;6;7;8;9;10;13;14;15;16;22;24;25;2207494
39;2;7;8;9;11;13;14;15;17;18;19;21;22;23;24;3096410
40;1;2;5;7;8;10;12;13;14;16;17;20;21;22;24;2419430
41;2;3;4;9;12;13;15;16;17;18;19;20;21;23;25;2903931
42;1;3;4;5;6;8;11;12;14;15;17;21;22;24;25;2492991
43;1;3;6;7;8;9;10;14;17;18;19;20;22;23;24;2637988
